Category,Event Name,Date,Link
Juniors,Abidjan Junior African Cup 2025,"Nov 27, 2025",/competitions/cont_cup_jun_civ2025/overview
Juniors,African Junior Championships Individuals 2025,"Jul 19, 2025",/competitions/aju_jun2025/overview
Juniors,African Junior Championships Mixed Teams 2025,"Jul 20, 2025",/competitions/aju_jun_teams2025/overview
Juniors,Algiers Junior African Cup 2025,"Feb 20, 2025",/competitions/cont_cup_jun_alg2025/overview
Juniors,Almaty Asian Junior Cup 2025,"Jul 5 - 6, 2025",/competitions/cont_cup_jun_kaz2025/overview
Juniors,Amman Junior Asian Cup 2025,"Aug 23 - 24, 2025",/competitions/cont_cup_jun_jor2025/overview
Juniors,Asuncion Junior Panamerican Cup 2025,"May 22, 2025",/competitions/cont_cup_jun_par2025/overview
Juniors,Berlin Junior European Cup 2025,"Jun 21 - 22, 2025",/competitions/cont_cup_jun_ger2025/overview
Juniors,Birmingham Junior European Cup 2025,"Jul 26 - 27, 2025",/competitions/cont_cup_jun_gbr2025/overview
Juniors,Casablanca Junior African Cup 2025,"Jan 16, 2025",/competitions/cont_cup_jun_mar2025/overview
Juniors,Dakar Junior African Cup 2025,"Nov 13, 2025",/competitions/cont_cup_jun_sen2025/overview
Juniors,Dushanbe Junior Asian Cup 2025,"Aug 9 - 10, 2025",/competitions/cont_cup_jun_tjk2025/overview
Juniors,European Judo Championships Junior Mixed Team Bratislava 2025,"Sep 7, 2025",/competitions/eju_jun_teams2025/overview
Juniors,European Judo Championships Juniors Bratislava 2025,"Sep 4 - 6, 2025",/competitions/eju_jun2025/overview
Juniors,Graz Junior European Cup 2025,"May 31 - Jun 1, 2025",/competitions/cont_cup_jun_aut2025/overview
Juniors,Guayaquil Junior Panamerican Cup 2025,"May 30, 2025",/competitions/cont_cup_jun_ecu2025/overview
Juniors,Hong Kong Junior Asian Cup 2025,"Jul 20, 2025",/competitions/cont_cup_jun_hkg2025/overview
Juniors,II Junior Panamerican Games 2025,"Aug 9 - 11, 2025",/competitions/pjc_jun_games2025/overview
Juniors,II Junior Panamerican Games Mixed Teams 2025,"Aug 12, 2025",/competitions/pjc_jun_teams_games2025/overview
Juniors,Istanbul Junior European Cup 2025,"May 3 - 4, 2025",/competitions/cont_cup_jun_tur2025/overview
Juniors,Kaunas Junior European Cup 2025,"May 24 - 25, 2025",/competitions/cont_cup_jun_ltu2025/overview
Juniors,Lignano Junior European Cup 2025,"Apr 12 - 13, 2025",/competitions/cont_cup_jun_ita2025/overview
Juniors,Macau Junior Asian Cup 2025,"Jul 27, 2025",/competitions/cont_cup_jun_mac2025/overview
Juniors,Malaga Junior European Cup 2025,"Mar 1 - 2, 2025",/competitions/cont_cup_jun_esp2025/overview
Juniors,Mandurah Junior Oceania Cup 2025,"May 4, 2025",/competitions/cont_cup_jun_aus2025/overview
Juniors,Maribor Junior European Cup 2025,"Nov 29 - 30, 2025",/competitions/cont_cup_jun_slo2025/overview
Juniors,Montreal Junior Panamerican Cup 2025,"Nov 13, 2025",/competitions/cont_cup_jun_can2025/overview
Juniors,Paks Junior European Cup 2025,"Jul 12 - 13, 2025",/competitions/cont_cup_jun_hun2025/overview
Juniors,Panama Junior Panamerican Cup 2025,"Apr 6, 2025",/competitions/cont_cup_jun_pan2025/overview
Juniors,Panamerican and Oceania Championships Juniors Individuals 2025,"Apr 19, 2025",/competitions/pjc_oju_jun2025/overview
Juniors,Panamerican and Oceania Championships Juniors Mixed Team 2025,"Apr 20, 2025",/competitions/pjc_oju_jun_teams2025/overview
Juniors,Podgorica Junior European Cup 2025,"Nov 22 - 23, 2025",/competitions/cont_cup_jun_mne2025/overview
